id,termKo,termEn,def,collection,category,difficulty,vibeCore,slug,source,quizEnabled,reviewStatus
base-0001,AI 에이전트,agent,스스로 여러 단계를 실행하는 AI. 파일을 읽고 코드를 고치고 실행까지 이어서 합니다.,ai,AI·클로드코드,2,False,agent,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0002,Claude Code,클로드 코드,명령을 내리면 코드를 읽고·쓰고·고쳐주는 AI 개발 도구. 터미널에서 대화하듯 씁니다.,ai,AI·클로드코드,2,False,클로드-코드,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0003,MCP,Model Context Protocol,AI를 외부 도구·데이터와 연결하는 규약. 예: AI가 파일·DB에 접근.,ai,AI·클로드코드,2,False,model-context-protocol,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0004,리팩터링,refactoring,기능은 그대로 두고 코드를 더 깔끔하게 정리하는 것.,ai,AI·클로드코드,2,False,refactoring,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0005,반복 개선,iteration,한 번에 완성하지 않고 조금씩 고쳐가며 나아가는 방식. AI 협업의 기본 리듬.,ai,AI·클로드코드,2,False,iteration,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0006,컨텍스트,context,AI가 참고하는 대화·파일의 맥락. 관련 파일을 알려줄수록 정확해집니다.,ai,AI·클로드코드,2,False,context,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0007,코드 리뷰,code review,작성된 코드를 살펴보며 문제·개선점을 찾는 것.,ai,AI·클로드코드,2,False,code-review,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0008,코드 생성,code generation,AI가 요구사항을 코드로 자동 작성하는 것.,ai,AI·클로드코드,2,False,code-generation,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0009,토큰,token,AI가 글을 처리하는 최소 단위(대략 단어 조각). 대화가 길면 토큰을 많이 씁니다.,ai,AI·클로드코드,2,False,token,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0010,프롬프트,prompt,AI에게 주는 지시·질문. 명확하고 구체적일수록 결과가 좋습니다.,ai,AI·클로드코드,2,False,prompt,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0011,환각,hallucination,AI가 그럴듯하지만 틀린 내용을 지어내는 현상. 결과는 항상 확인해야 합니다.,ai,AI·클로드코드,2,False,hallucination,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0012,관계,relationship,"테이블 간 연결 방식. 1:1, 1:다(1:N), 다:다(N:M).",ai,DB 구조,2,False,relationship,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0013,기본키,Primary Key,각 레코드를 유일하게 구분하는 값(예: 회원 ID). 중복 불가.,ai,DB 구조,2,False,primary-key,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0014,레코드 / 행,record/row,테이블의 한 줄. 데이터 하나(예: 회원 1명)를 나타냄.,ai,DB 구조,2,False,record-row,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0015,외래키,Foreign Key,다른 테이블의 기본키를 참조해 두 테이블을 연결하는 값.,ai,DB 구조,2,False,foreign-key,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0016,인덱스,index,검색을 빠르게 해주는 색인. 책 뒤 '찾아보기'와 같은 역할.,ai,DB 구조,2,False,index,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0017,테이블,table,관계형 DB에서 데이터를 담는 표. 엑셀 시트를 떠올리면 쉬움.,ai,DB 구조,2,False,table,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0018,필드 / 열,field/column,테이블의 한 칸 종류(예: 이름·이메일·나이).,ai,DB 구조,2,False,field-column,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0019,복원,restore,백업해 둔 데이터나 시스템을 다시 사용할 수 있는 상태로 되돌리는 작업.,ai,DB 운영,2,False,backup-2,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0020,복제,replication,DB를 여러 대에 복사해두는 것. 장애 대비·부하 분산.,ai,DB 운영,2,False,replication,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0021,샤딩,sharding,데이터를 여러 DB로 쪼개 저장해 대용량을 감당하는 기법(심화).,ai,DB 운영,2,False,sharding,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0022,정규화,normalization,데이터 중복을 줄이도록 테이블을 잘 나누는 설계 원칙.,ai,DB 운영,2,False,normalization,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0023,Firebase Firestore,파이어스토어,구글의 앱용 클라우드 NoSQL DB. 실시간 동기화·서버 불필요.,ai,DB 종류,2,False,파이어스토어,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0024,MongoDB,몽고DB,문서(JSON 유사) 형태로 저장하는 대표 NoSQL. 구조 변경이 자유로움.,ai,DB 종류,2,False,몽고db,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0025,PostgreSQL,PostgreSQL,기능이 풍부하고 표준 준수도가 높은 오픈소스 관계형 데이터베이스.,ai,DB 종류,2,False,서버-rdb,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0026,NoSQL,비관계형,표가 아닌 유연한 구조(문서·키값 등)로 저장. 대량·비정형 데이터에 강함.,ai,DB 종류,2,False,비관계형,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0027,Redis,레디스,메모리에 저장해 매우 빠른 인메모리 DB. 주로 캐시·세션에 사용.,ai,DB 종류,2,False,레디스,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0028,SQLite,에스큐라이트,파일 하나로 동작하는 가벼운 관계형 DB. 모바일 앱의 기본 로컬 저장소.,ai,DB 종류,2,False,에스큐라이트,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0029,Supabase,수파베이스,Firebase 대안. PostgreSQL(SQL) 기반 오픈소스 백엔드.,ai,DB 종류,2,False,수파베이스,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0030,관계형 DB,RDB / SQL,데이터를 표(테이블) 형태로 저장하고 SQL로 다루는 방식. 가장 전통적이고 안정적.,ai,DB 종류,2,False,rdb-sql,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0031,ADB,안드로이드 디버그 브리지,PC와 안드로이드 기기를 명령어로 연결해 설치·로그 확인 등을 하는 도구.,ai,개발 도구,2,False,안드로이드-디버그-브리지,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0032,Android Studio,안드로이드 스튜디오,안드로이드 앱 개발 공식 IDE(구글 제공). 코드·디자인·에뮬레이터가 한 곳에.,ai,개발 도구,2,False,안드로이드-스튜디오,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0033,Gradle,그레이들,안드로이드 프로젝트의 빌드·의존성 관리 도구. 앱을 조립하는 공장 라인.,ai,개발 도구,2,False,그레이들,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0034,SDK,소프트웨어 개발 키트,특정 플랫폼용 앱을 만드는 데 필요한 도구·라이브러리 묶음.,ai,개발 도구,2,False,소프트웨어-개발-키트,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0035,Xcode,엑스코드,애플(iOS·맥) 앱 개발 공식 IDE. macOS에서만 동작합니다.,ai,개발 도구,2,False,엑스코드,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0036,실기기 테스트,real device,실제 폰에 앱을 설치해 확인하는 것. 에뮬레이터로 못 잡는 문제를 잡음.,ai,개발 도구,2,False,real-device,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0037,에뮬레이터,emulator,다른 기기의 하드웨어와 운영체제 동작을 소프트웨어로 흉내 내는 테스트 환경.,ai,개발 도구,2,False,emulator,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0038,Dart,다트,Flutter 앱을 만드는 언어. 구글이 만들었고 배우기 쉬운 편.,ai,개발 언어,2,False,다트,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
